date,open,high,low,close,adj_close,volume,currency
2023-09-08,1188.027344,1190.007935,1184,1184,1184,0,USD/RWF (RWF=X)
2023-09-07,1195.847778,1195.847778,1188.543091,1183,1183,0,USD/RWF (RWF=X)
2023-09-06,1183,1193.13269,1178.660034,1178.30835,1178.30835,0,USD/RWF (RWF=X)
2023-09-05,1181.359131,1181.359131,1177.133667,1181.129395,1181.129395,0,USD/RWF (RWF=X)
2023-09-04,1183.537964,1183.537964,1179.981689,1181.477173,1181.477173,0,USD/RWF (RWF=X)
2023-09-01,1179.629395,1179.629395,1176.210205,1175.945801,1175.945801,0,USD/RWF (RWF=X)
2023-08-31,1174.183838,1175.945801,1174.183838,1179.497314,1179.497314,0,USD/RWF (RWF=X)
2023-08-30,1170.442261,1179.497314,1170.442261,1177.047485,1177.047485,0,USD/RWF (RWF=X)
2023-08-29,1172.106689,1177.047485,1172.106689,1173.564941,1173.564941,0,USD/RWF (RWF=X)
2023-08-28,1173.32251,1173.564941,1173.029175,1173.713745,1173.713745,0,USD/RWF (RWF=X)
2023-08-25,1182.263306,1182.263306,1172.692749,1178,1178,0,USD/RWF (RWF=X)
2023-08-24,1164.969971,1177,1164.969971,1176,1176,0,USD/RWF (RWF=X)
2023-08-23,1175.093384,1175.093384,1171.474609,1176,1176,0,USD/RWF (RWF=X)
2023-08-22,1188.542114,1188.542114,1170.991577,1176,1176,0,USD/RWF (RWF=X)
2023-08-21,1167.646362,1187.964478,1167.394165,1166.322388,1166.322388,0,USD/RWF (RWF=X)
2023-08-18,1174,1174,1174,1174,1174,0,USD/RWF (RWF=X)
2023-08-17,1187.245239,1187.245239,1168.380737,1172,1172,0,USD/RWF (RWF=X)
2023-08-16,1170.886963,1182.187988,1170.886963,1173,1173,0,USD/RWF (RWF=X)
2023-08-15,1173.342651,1173.342651,1167.695557,1172,1172,0,USD/RWF (RWF=X)
2023-08-14,1172.259277,1172.259277,1168,1170.632324,1170.632324,0,USD/RWF (RWF=X)
2023-08-11,1169.912598,1169.912598,1166.12854,1165.700928,1165.700928,0,USD/RWF (RWF=X)
2023-08-10,1165.629028,1165.700928,1165.565308,1165.161743,1165.161743,0,USD/RWF (RWF=X)
2023-08-09,1163.994141,1165.161743,1163.994141,1164.052612,1164.052612,0,USD/RWF (RWF=X)
2023-08-08,1158.349609,1164.052612,1158.349609,1159.626221,1159.626221,0,USD/RWF (RWF=X)
2023-08-07,1156.782349,1159.76355,1156.782349,1156.241455,1156.241455,0,USD/RWF (RWF=X)
2023-08-04,1160.502441,1168,1160.502441,1165,1165,0,USD/RWF (RWF=X)
2023-08-03,1166.286499,1166.286499,1162.157227,1163.770752,1163.770752,0,USD/RWF (RWF=X)
2023-08-02,1159.855225,1163.770752,1159.855225,1167,1167,0,USD/RWF (RWF=X)
2023-08-01,1180.008911,1180.008911,1161.788696,1166,1166,0,USD/RWF (RWF=X)
2023-07-31,1178.183594,1179.901611,1165,1176.731812,1176.731812,0,USD/RWF (RWF=X)
2023-07-28,1176.025879,1179.772949,1165,1164,1164,0,USD/RWF (RWF=X)
2023-07-27,1158.362793,1164,1158.362793,1164,1164,0,USD/RWF (RWF=X)
2023-07-26,1160.482422,1163,1159.413696,1163,1163,0,USD/RWF (RWF=X)
2023-07-25,1162.502808,1163,1161.50708,1163,1163,0,USD/RWF (RWF=X)
2023-07-24,1156.734375,1161.914185,1156.334229,1156.074585,1156.074585,0,USD/RWF (RWF=X)
2023-07-21,1163.197876,1163.197876,1157.114014,1156.412476,1156.412476,0,USD/RWF (RWF=X)
2023-07-20,1155.62207,1156.412476,1155.62207,1160,1160,0,USD/RWF (RWF=X)
2023-07-19,1157.654785,1160,1156.121948,1160,1160,0,USD/RWF (RWF=X)
2023-07-18,1153.066162,1155.134521,1153.066162,1158,1158,0,USD/RWF (RWF=X)
2023-07-17,1153.570313,1153.753784,1153.570313,1151.175659,1151.175659,0,USD/RWF (RWF=X)
2023-07-14,1150.986206,1153.364868,1150.986206,1158,1158,0,USD/RWF (RWF=X)
2023-07-13,1140.928101,1155.987061,1140.928101,1157,1157,0,USD/RWF (RWF=X)
2023-07-12,1150.786621,1153.217896,1150.786621,1158,1158,0,USD/RWF (RWF=X)
2023-07-11,1141.940796,1157,1141.940796,1157,1157,0,USD/RWF (RWF=X)
2023-07-10,1142.643433,1156,1142.643433,1141.243408,1141.243408,0,USD/RWF (RWF=X)
2023-07-07,1149.477051,1155,1149.477051,1154,1154,0,USD/RWF (RWF=X)
2023-07-06,1150.916016,1154,1149.450684,1154,1154,0,USD/RWF (RWF=X)
2023-07-05,1147.132202,1151,1147.132202,1146.68457,1146.68457,0,USD/RWF (RWF=X)
2023-07-04,1142.459106,1146.68457,1142.459106,1151,1151,0,USD/RWF (RWF=X)
2023-07-03,1140.786621,1143.129639,1140.786621,1138.462891,1138.462891,0,USD/RWF (RWF=X)
2023-06-30,1179.727539,1179.727539,1145.900513,1151,1151,0,USD/RWF (RWF=X)
2023-06-29,1150.319946,1173.569702,1150,1150,1150,0,USD/RWF (RWF=X)
2023-06-28,1143.050171,1145.938965,1143.050171,1148,1148,0,USD/RWF (RWF=X)
2023-06-27,1173.697998,1173.697998,1143.72876,1148,1148,0,USD/RWF (RWF=X)
2023-06-26,1135.385254,1173.428955,1135.104126,1132.275635,1132.275635,0,USD/RWF (RWF=X)
2023-06-23,1143.029297,1143.029297,1139.328979,1144,1144,0,USD/RWF (RWF=X)
2023-06-22,1128.634521,1142,1128.634521,1142,1142,0,USD/RWF (RWF=X)
2023-06-21,1134.54187,1141,1134.54187,1141,1141,0,USD/RWF (RWF=X)
2023-06-20,1129.26416,1138,1129.26416,1138,1138,0,USD/RWF (RWF=X)
2023-06-19,1128.373047,1136,1128.373047,1125.347656,1125.347656,0,USD/RWF (RWF=X)
2023-06-16,1116.594482,1126.477661,1116.594482,1133,1133,0,USD/RWF (RWF=X)
2023-06-15,1121.537598,1127.641846,1121.537598,1132,1132,0,USD/RWF (RWF=X)
2023-06-14,1122.391724,1124.916138,1122.391724,1128,1128,0,USD/RWF (RWF=X)
